Sorter0,
ArrayLength,Runtime D
1,1.42E-06
3,2.42E-06
5,1.17E-06
7,1.54E-06
9,2.00E-06
11,2.29E-06
13,3.00E-06
15,4.17E-06
17,5.00E-06
19,1.56E-05
21,7.46E-06
23,7.87E-06
25,8.88E-06
27,1.10E-05
29,1.15E-05
31,1.43E-05
33,1.48E-05
35,1.66E-05
37,1.80E-05
39,1.98E-05
41,2.47E-05
43,2.36E-05
45,2.59E-05
47,3.08E-05
49,3.00E-05
51,3.26E-05
53,3.55E-05
55,3.75E-05
57,3.77E-05
59,4.10E-05
61,4.50E-05
63,4.70E-05
65,4.90E-05
67,5.43E-05
69,6.34E-05
71,5.80E-05
73,6.12E-05
75,6.46E-05
77,6.70E-05
79,7.10E-05
81,7.53E-05
83,8.13E-05
85,8.26E-05
87,9.07E-05
89,9.52E-05
91,9.40E-05
93,9.73E-05
95,4.26E-05
97,2.91E-05
99,3.85E-05
101,4.44E-05
103,3.94E-05
105,3.73E-05
107,4.06E-05
109,2.98E-05
111,2.79E-05
113,2.97E-05
115,3.23E-05
117,3.36E-05
119,3.44E-05
121,3.58E-05
123,3.67E-05
125,3.67E-05
127,3.85E-05
129,4.03E-05
131,4.15E-05
133,4.26E-05
135,4.34E-05
137,4.44E-05
139,4.56E-05
141,4.72E-05
143,4.84E-05
145,4.96E-05
147,5.05E-05
149,5.20E-05
151,5.36E-05
153,5.45E-05
155,5.66E-05
157,5.82E-05
159,5.96E-05
161,6.05E-05
163,6.17E-05
165,6.31E-05
167,6.52E-05
169,6.62E-05
171,6.80E-05
173,6.98E-05
175,7.15E-05
177,7.25E-05
179,7.39E-05
181,7.57E-05
183,7.80E-05
185,7.82E-05
187,8.04E-05
189,8.19E-05
191,8.40E-05
193,1.68E-04
195,3.23E-04
197,8.95E-05
199,9.07E-05
201,9.21E-05
203,9.45E-05
205,9.60E-05
207,9.81E-05
209,1.01E-04
211,1.03E-04
213,1.03E-04
215,1.05E-04
217,1.07E-04
219,1.18E-04
221,1.09E-04
223,1.14E-04
225,1.15E-04
227,1.17E-04
229,1.19E-04
231,1.20E-04
233,1.22E-04
235,1.24E-04
237,1.27E-04
239,1.29E-04
241,1.34E-04
243,1.34E-04
245,1.49E-04
247,1.38E-04
249,1.40E-04
251,1.41E-04
253,1.45E-04
255,1.46E-04
257,1.49E-04
259,1.51E-04
261,1.53E-04
263,1.62E-04
265,7.44E-04
267,7.51E-04
269,7.63E-04
271,7.76E-04
273,8.05E-04
275,8.04E-04
277,8.65E-04
279,8.31E-04
281,8.43E-04
283,8.73E-04
285,8.85E-04
287,4.59E-05
289,4.43E-05
291,4.46E-05
293,4.60E-05
295,4.49E-05
297,4.74E-05
299,4.68E-05
301,4.70E-05
303,4.79E-05
305,4.78E-05
307,4.98E-05
309,4.95E-05
311,4.90E-05
313,5.02E-05
315,5.16E-05
317,5.13E-05
319,5.14E-05
321,5.26E-05
323,5.36E-05
325,5.37E-05
327,5.46E-05
329,5.34E-05
331,5.61E-05
333,5.64E-05
335,5.65E-05
337,5.72E-05
339,5.82E-05
341,5.89E-05
343,7.73E-05
345,6.13E-05
347,6.08E-05
349,6.20E-05
351,6.20E-05
353,6.27E-05
355,6.33E-05
357,6.31E-05
359,6.45E-05
361,6.55E-05
363,6.49E-05
365,6.65E-05
367,6.61E-05
369,6.69E-05
371,6.83E-05
373,6.76E-05
375,6.89E-05
377,7.06E-05
379,7.10E-05
381,7.12E-05
383,8.45E-05
385,1.83E-04
387,7.45E-05
389,7.47E-05
391,7.48E-05
393,7.57E-05
395,7.60E-05
397,7.64E-05
399,7.75E-05
401,7.78E-05
403,7.75E-05
405,7.91E-05
407,7.95E-05
409,8.05E-05
411,8.15E-05
413,8.27E-05
415,8.32E-05
417,8.32E-05
419,8.43E-05
421,8.50E-05
423,8.56E-05
425,8.53E-05
427,9.58E-05
429,9.84E-05
431,8.93E-05
433,9.00E-05
435,8.93E-05
437,9.04E-05
439,9.22E-05
441,9.35E-05
443,1.09E-04
445,9.59E-05
447,9.52E-05
449,9.38E-05
451,9.61E-05
453,9.72E-05
455,9.78E-05
457,9.84E-05
459,9.90E-05
461,1.01E-04
463,1.01E-04
465,1.04E-04
467,1.04E-04
469,1.04E-04
471,1.04E-04
473,1.06E-04
475,1.05E-04
477,1.06E-04
479,1.08E-04
481,1.07E-04
483,1.08E-04
485,1.10E-04
487,1.11E-04
489,1.16E-04
491,1.12E-04
493,1.12E-04
495,1.13E-04
497,1.15E-04
499,1.17E-04
501,1.21E-04
503,1.18E-04
505,1.19E-04
507,1.18E-04
509,1.19E-04
511,1.25E-04
513,1.21E-04
515,1.23E-04
517,1.28E-04
519,1.29E-04
521,1.33E-04
523,1.34E-04
525,1.33E-04
527,1.33E-04
529,1.37E-04
531,1.33E-04
533,1.49E-04
535,1.32E-04
537,1.31E-04
539,1.32E-04
541,1.34E-04
543,1.34E-04
545,1.37E-04
547,1.71E-04
549,1.38E-04
551,1.38E-04
553,1.40E-04
555,1.41E-04
557,1.41E-04
559,1.42E-04
561,1.44E-04
563,1.44E-04
565,1.44E-04
567,1.45E-04
569,1.47E-04
571,1.51E-04
573,1.66E-04
575,1.51E-04
577,1.50E-04
579,1.51E-04
581,1.64E-04
583,1.50E-04
585,1.47E-04
587,1.60E-04
589,1.65E-04
591,1.54E-04
593,1.54E-04
595,1.56E-04
597,1.60E-04
599,1.57E-04
601,1.58E-04
603,1.61E-04
605,1.56E-04
607,1.64E-04
609,1.63E-04
611,1.64E-04
613,1.68E-04
615,1.65E-04
617,1.67E-04
619,1.66E-04
621,1.65E-04
623,1.63E-04
625,1.66E-04
627,1.77E-04
629,1.75E-04
631,1.79E-04
633,1.79E-04
635,1.77E-04
637,1.79E-04
639,1.81E-04
641,1.81E-04
643,1.84E-04
645,1.83E-04
647,1.86E-04
649,1.86E-04
651,1.87E-04
653,1.89E-04
655,1.90E-04
657,1.91E-04
659,1.92E-04
661,1.91E-04
663,1.94E-04
665,1.96E-04
667,1.95E-04
669,1.96E-04
671,1.98E-04
673,1.99E-04
675,1.99E-04
677,2.13E-04
679,2.05E-04
681,2.04E-04
683,2.03E-04
685,2.06E-04
687,2.07E-04
689,2.08E-04
691,2.09E-04
693,2.10E-04
695,2.10E-04
697,2.12E-04
699,2.14E-04
701,2.15E-04
703,2.18E-04
705,2.33E-04
707,2.17E-04
709,2.19E-04
711,2.18E-04
713,2.22E-04
715,2.22E-04
717,2.24E-04
719,2.25E-04
721,2.25E-04
723,2.29E-04
725,2.28E-04
727,2.30E-04
729,2.32E-04
731,2.32E-04
733,2.35E-04
735,2.35E-04
737,2.37E-04
739,2.37E-04
741,2.38E-04
743,2.39E-04
745,2.41E-04
747,2.40E-04
749,2.44E-04
751,2.60E-04
753,2.49E-04
755,2.56E-04
757,2.46E-04
759,2.52E-04
761,2.52E-04
763,2.49E-04
765,2.56E-04
767,2.46E-04
769,2.55E-04
771,2.57E-04
773,2.57E-04
775,2.55E-04
777,2.61E-04
779,2.62E-04
781,2.73E-04
783,2.56E-04
785,2.51E-04
787,2.50E-04
789,2.52E-04
791,2.53E-04
793,2.58E-04
795,2.71E-04
797,2.72E-04
799,2.73E-04
801,2.76E-04
803,2.77E-04
805,2.76E-04
807,2.79E-04
809,2.80E-04
811,2.80E-04
813,2.83E-04
815,2.85E-04
817,2.83E-04
819,2.87E-04
821,2.90E-04
823,2.86E-04
825,2.91E-04
827,2.94E-04
829,2.95E-04
831,2.96E-04
833,2.95E-04
835,2.97E-04
837,2.99E-04
839,2.99E-04
841,3.00E-04
843,3.00E-04
845,3.03E-04
847,3.20E-04
849,3.09E-04
851,3.08E-04
853,3.10E-04
855,3.11E-04
857,3.15E-04
859,3.13E-04
861,3.16E-04
863,3.15E-04
865,3.18E-04
867,3.19E-04
869,3.43E-04
871,3.22E-04
873,3.23E-04
875,3.26E-04
877,3.25E-04
879,3.26E-04
881,3.28E-04
883,3.32E-04
885,3.31E-04
887,3.32E-04
889,3.33E-04
891,3.35E-04
893,3.37E-04
895,3.37E-04
897,3.39E-04
899,3.43E-04
901,3.41E-04
903,3.44E-04
905,3.48E-04
907,3.47E-04
909,3.49E-04
911,3.50E-04
913,3.67E-04
915,3.51E-04
917,3.53E-04
919,3.57E-04
921,3.61E-04
923,3.60E-04
925,3.56E-04
927,3.64E-04
929,3.65E-04
931,3.63E-04
933,3.67E-04
935,3.69E-04
937,3.69E-04
939,3.71E-04
941,3.70E-04
943,3.74E-04
945,3.74E-04
947,3.80E-04
949,3.71E-04
951,3.67E-04
953,3.65E-04
955,3.70E-04
957,3.78E-04
959,3.89E-04
961,3.99E-04
963,3.90E-04
965,4.23E-04
967,3.87E-04
969,3.95E-04
971,3.95E-04
973,3.98E-04
975,3.95E-04
977,4.00E-04
979,4.01E-04
981,4.03E-04
983,4.04E-04
985,4.05E-04
987,4.12E-04
989,4.08E-04
991,4.08E-04
993,4.13E-04
995,4.13E-04
997,4.13E-04
999,4.16E-04
1001,4.19E-04
1003,4.21E-04
1005,4.19E-04
1007,4.38E-04
1009,4.26E-04
1011,4.38E-04
1013,4.29E-04
1015,4.27E-04
1017,4.33E-04
1019,4.34E-04
1021,4.36E-04
1023,4.36E-04
1025,4.39E-04
1027,4.39E-04
1029,4.40E-04
1031,4.43E-04
1033,4.44E-04
1035,4.46E-04
1037,4.46E-04
1039,4.48E-04
1041,4.50E-04
1043,4.53E-04
1045,4.51E-04
1047,4.53E-04
1049,4.56E-04
1051,4.58E-04
1053,4.58E-04
1055,4.62E-04
1057,4.62E-04
1059,4.80E-04
1061,4.68E-04
1063,4.67E-04
1065,4.63E-04
1067,4.58E-04
1069,4.58E-04
1071,4.58E-04
1073,4.60E-04
1075,4.66E-04
1077,4.66E-04
1079,4.66E-04
1081,4.68E-04
1083,4.69E-04
1085,4.70E-04
1087,4.72E-04
1089,4.63E-04
1091,4.64E-04
1093,4.64E-04
1095,4.71E-04
1097,4.66E-04
1099,4.67E-04
1101,5.02E-04
1103,5.03E-04
1105,5.04E-04
1107,5.03E-04
1109,5.06E-04
1111,5.04E-04
1113,5.12E-04
1115,5.12E-04
1117,5.13E-04
1119,5.15E-04
1121,5.18E-04
1123,5.13E-04
1125,5.27E-04
1127,5.22E-04
1129,5.26E-04
1131,5.25E-04
1133,5.26E-04
1135,5.28E-04
1137,5.62E-04
1139,5.17E-04
1141,5.16E-04
1143,5.05E-04
1145,5.06E-04
1147,5.11E-04
1149,5.07E-04
1151,5.10E-04
1153,5.31E-04
1155,5.14E-04
1157,5.18E-04
1159,5.19E-04
1161,5.29E-04
1163,5.32E-04
1165,5.26E-04
1167,5.53E-04
1169,5.60E-04
1171,5.45E-04
1173,5.45E-04
1175,6.93E-04
1177,5.70E-04
1179,5.71E-04
1181,5.68E-04
1183,5.97E-04
1185,5.71E-04
1187,5.76E-04
1189,5.76E-04
1191,5.77E-04
1193,5.81E-04
1195,5.75E-04
1197,5.81E-04
1199,5.90E-04
1201,5.93E-04
1203,5.91E-04
1205,6.02E-04
1207,6.66E-04
1209,6.11E-04
1211,5.99E-04
1213,6.00E-04
1215,6.02E-04
1217,6.04E-04
1219,6.16E-04
1221,6.04E-04
1223,6.10E-04
1225,6.15E-04
1227,6.11E-04
1229,6.14E-04
1231,6.16E-04
1233,6.28E-04
1235,6.20E-04
1237,6.22E-04
1239,6.27E-04
1241,6.25E-04
1243,6.38E-04
1245,6.31E-04
1247,6.31E-04
1249,6.68E-04
1251,6.39E-04
1253,6.70E-04
1255,6.18E-04
1257,6.10E-04
1259,6.07E-04
1261,6.08E-04
1263,6.09E-04
1265,6.17E-04
1267,6.12E-04
1269,6.15E-04
1271,6.24E-04
1273,6.19E-04
1275,6.89E-04
1277,6.63E-04
1279,6.69E-04
1281,6.66E-04
1283,6.87E-04
1285,6.97E-04
1287,6.71E-04
1289,6.77E-04
1291,6.73E-04
1293,6.80E-04
1295,6.96E-04
1297,6.43E-04
1299,6.43E-04
1301,6.44E-04
1303,6.83E-04
1305,6.90E-04
1307,6.94E-04
1309,6.95E-04
1311,6.95E-04
1313,6.96E-04
1315,7.01E-04
1317,7.00E-04
1319,7.02E-04
1321,7.06E-04
1323,7.08E-04
1325,7.10E-04
1327,7.14E-04
1329,7.13E-04
1331,7.19E-04
1333,7.15E-04
1335,7.18E-04
1337,7.21E-04
1339,7.25E-04
1341,7.26E-04
1343,7.28E-04
1345,7.28E-04
1347,7.33E-04
1349,7.33E-04
1351,7.35E-04
1353,7.35E-04
1355,7.40E-04
1357,7.55E-04
1359,7.44E-04
1361,7.54E-04
1363,7.50E-04
1365,7.51E-04
1367,7.52E-04
1369,7.68E-04
1371,7.55E-04
1373,7.61E-04
1375,7.66E-04
1377,7.65E-04
1379,7.69E-04
1381,7.66E-04
1383,7.71E-04
1385,7.69E-04
1387,7.73E-04
1389,7.73E-04
1391,7.79E-04
1393,7.79E-04
1395,8.13E-04
1397,7.90E-04
1399,7.89E-04
1401,7.90E-04
1403,7.84E-04
1405,7.48E-04
1407,7.47E-04
1409,7.55E-04
1411,7.56E-04
1413,7.57E-04
1415,7.59E-04
1417,7.58E-04
1419,7.62E-04
1421,8.15E-04
1423,8.02E-04
1425,8.15E-04
1427,8.15E-04
1429,8.20E-04
1431,8.21E-04
1433,8.23E-04
1435,8.25E-04
1437,8.29E-04
1439,8.31E-04
1441,8.33E-04
1443,8.34E-04
1445,8.43E-04
1447,8.42E-04
1449,8.41E-04
1451,8.44E-04
1453,8.47E-04
1455,8.46E-04
1457,8.48E-04
1459,8.53E-04
1461,8.54E-04
1463,8.57E-04
1465,8.67E-04
1467,8.51E-04
1469,8.52E-04
1471,8.65E-04
1473,8.70E-04
1475,8.71E-04
1477,8.74E-04
1479,8.76E-04
1481,8.75E-04
1483,8.73E-04
1485,8.92E-04
1487,8.91E-04
1489,8.86E-04
1491,8.88E-04
1493,8.90E-04
1495,8.92E-04
1497,8.90E-04
1499,8.95E-04
1501,9.03E-04
1503,9.02E-04
1505,9.04E-04
1507,9.11E-04
1509,9.01E-04
1511,8.67E-04
1513,8.62E-04
1515,8.78E-04
1517,9.26E-04
1519,9.29E-04
1521,9.10E-04
1523,8.71E-04
1525,8.75E-04
1527,8.75E-04
1529,8.76E-04
1531,9.38E-04
1533,9.36E-04
1535,9.44E-04
1537,9.45E-04
1539,9.46E-04
1541,9.49E-04
1543,9.48E-04
1545,9.52E-04
1547,9.54E-04
1549,9.57E-04
1551,9.68E-04
1553,9.66E-04
1555,0.001017166
1557,9.57E-04
1559,9.70E-04
1561,9.62E-04
1563,9.75E-04
1565,9.77E-04
1567,9.76E-04
1569,9.67E-04
1571,0.001001834
1573,9.87E-04
1575,9.90E-04
1577,9.89E-04
1579,9.95E-04
1581,9.97E-04
1583,0.0010015
1585,0.001005666
1587,9.72E-04
1589,9.76E-04
1591,0.001015916
1593,0.001009833
1595,0.001012375
1597,0.001013417
1599,0.001008709
1601,9.96E-04
1603,9.99E-04
1605,0.001020625
1607,0.001028916
1609,0.001057458
1611,0.001035125
1613,0.001035
1615,0.001035709
1617,0.0010295
1619,0.001041083
1621,0.001062375
1623,0.001048459
1625,0.001051292
1627,0.001050625
1629,0.001052708
1631,0.001059916
1633,0.001057166
1635,0.001075583
1637,0.001064958
1639,0.001066667
1641,0.00106775
1643,0.001057125
1645,0.001052834
1647,0.00104325
1649,0.001047958
1651,0.00105
1653,0.00109475
1655,0.001126417
1657,0.0010745
1659,0.001102584
1661,0.001094542
1663,0.001097875
1665,0.001097208
1667,0.001102875
1669,0.001147958
1671,0.001105875
1673,0.001074708
1675,0.00106
1677,0.00110775
1679,0.001117375
1681,0.0011175
1683,0.001121583
1685,0.00112375
1687,0.001168792
1689,0.00112875
1691,0.001128709
1693,0.001140334
1695,0.001138958
1697,0.001140667
1699,0.001144916
1701,0.001146542
1703,0.001159125
1705,0.001157125
1707,0.001148958
1709,0.001139292
1711,0.001180375
1713,0.001124916
1715,0.001129625
1717,0.001126833
1719,0.001137417
1721,0.001166709
1723,0.001174292
1725,0.001201916
1727,0.00117925
1729,0.001179583
1731,0.001186291
1733,0.001191
1735,0.001187917
1737,0.001193584
1739,0.00119325
1741,0.001204625
1743,0.001195917
1745,0.001202542
1747,0.001217958
1749,0.001208709
1751,0.001218292
1753,0.001213875
1755,0.001228584
1757,0.001211625
1759,0.001219625
1761,0.001221333
1763,0.001208416
1765,0.001224
1767,0.001278833
1769,0.001211375
1771,0.001198709
1773,0.001176208
1775,0.0011715
1777,0.001173333
1779,0.0011735
1781,0.001173667
1783,0.001222125
1785,0.001224959
1787,0.001238
1789,0.001188625
1791,0.00120575
1793,0.001201833
1795,0.001239334
1797,0.001240417
1799,0.001238666
1801,0.001249959
1803,0.001246083
1805,0.001244458
1807,0.001253083
1809,0.00125875
1811,0.001250458
1813,0.001244208
1815,0.001255791
1817,0.001262542
1819,0.001264166
1821,0.001263
1823,0.001275958
1825,0.001277125
1827,0.001280792
1829,0.001283167
1831,0.001323084
1833,0.001307875
1835,0.00128825
1837,0.001292833
1839,0.00133025
1841,0.001332292
1843,0.001334208
1845,0.001326917
1847,0.001301042
1849,0.00131
1851,0.00131275
1853,0.001313375
1855,0.001277625
1857,0.001274958
1859,0.001279334
1861,0.001282333
1863,0.001291709
1865,0.001288833
1867,0.001328584
1869,0.001339209
1871,0.001357084
1873,0.001347375
1875,0.00134325
1877,0.001340625
1879,0.001353375
1881,0.0013515
1883,0.001367042
1885,0.001358833
1887,0.001363667
1889,0.001372541
1891,0.001398125
1893,0.001401875
1895,0.001434667
1897,0.001379167
1899,0.001438875
1901,0.001380958
1903,0.001382416
1905,0.0013855
1907,0.001388708
1909,0.001415458
1911,0.001478791
1913,0.001394875
1915,0.001397333
1917,0.001403834
1919,0.001419292
1921,0.001399875
1923,0.001432042
1925,0.00142775
1927,0.001431791
1929,0.001491291
1931,0.001481417
1933,0.001453417
1935,0.00144025
1937,0.001428125
1939,0.001432
1941,0.001459583
1943,0.00144125
1945,0.00143875
1947,0.001516166
1949,0.001467792
1951,0.001456083
1953,0.001463166
1955,0.001443417
1957,0.001471042
1959,0.001480459
1961,0.001462458
1963,0.001491792
1965,0.001511209
1967,0.001473417
1969,0.001472667
1971,0.001479084
1973,0.001479375
1975,0.001488709
1977,0.001481334
1979,0.001500958
1981,0.001520916
1983,0.001554375
1985,0.001501833
1987,0.001499167
1989,0.001516208
1991,0.001512667
1993,0.001506292
1995,0.001509375
1997,0.001553708
1999,0.001573416
2001,0.001537458
2003,0.001525625
2005,0.00152775
2007,0.001533709
2009,0.001539542
2011,0.001559084
2013,0.001540459
2015,0.001557125
2017,0.00157275
2019,0.001550209
2021,0.001558833
2023,0.001558333
2025,0.001551209
2027,0.00156025
2029,0.001567042
2031,0.001575167
2033,0.001573541
2035,0.001567666
2037,0.001577916
2039,0.001589792
2041,0.001581959
2043,0.001596875
2045,0.001584208
2047,0.001586542
2049,0.001628375
2051,0.0016105
2053,0.001602083
2055,0.001613375
2057,0.001606959
2059,0.00160475
2061,0.001617417
2063,0.001617625
2065,0.001632083
2067,0.001686
2069,0.00162075
2071,0.001631958
2073,0.00164
2075,0.00163275
2077,0.001638917
2079,0.001642209
2081,0.00164675
2083,0.001645958
2085,0.001642875
2087,0.001655208
2089,0.001657792
2091,0.001661208
2093,0.001662583
2095,0.001660959
2097,0.00166375
2099,0.001665292
2101,0.001676208
2103,0.001681917
2105,0.001687167
2107,0.001711542
2109,0.001725167
2111,0.001727833
2113,0.001742167
2115,0.001740583
2117,0.001745666
2119,0.001754209
2121,0.001753791
2123,0.001711167
2125,0.00173625
2127,0.001725958
2129,0.001725084
2131,0.001738542
2133,0.001719541
2135,0.001685958
2137,0.001690542
2139,0.001695084
2141,0.001701292
2143,0.001752
2145,0.001715875
2147,0.001704791
2149,0.001746792
2151,0.001745625
2153,0.001704917
2155,0.001702917
2157,0.001713667
2159,0.0017495
2161,0.001715708
2163,0.001738083
2165,0.001777833
2167,0.001731791
2169,0.00178975
2171,0.001769167
2173,0.001779292
2175,0.001789292
2177,0.001830458
2179,0.001842333
2181,0.001855542
2183,0.001853292
2185,0.001866917
2187,0.001842459
2189,0.001866875
2191,0.001861083
2193,0.001869458
2195,0.001823166
2197,0.001798208
