Sorter0,,
ArrayLength,Runtime F,Runtime C
1,1.92E-06,1.83E-06
3,2.33E-06,0.001160833
5,1.04E-06,0.005489208
7,1.13E-06,0.00942425
9,1.79E-06,0.017721539
11,2.25E-06,0.025543666
13,2.58E-06,0.032704625
15,2.50E-06,0.041235626
17,3.83E-06,0.05142846
19,4.75E-06,0.075287335
21,6.71E-06,0.111439958
23,1.92E-05,0.124884285
25,7.54E-06,0.107745081
27,8.08E-06,0.095430084
29,9.21E-06,0.133589
31,1.36E-05,0.185787871
33,1.40E-05,0.154361218
35,2.65E-05,0.162634373
37,1.58E-05,0.211631164
39,1.90E-05,0.228884757
41,1.56E-05,0.281493902
43,1.73E-05,0.295569688
45,2.13E-05,0.289838761
47,2.46E-05,0.317622185
49,3.10E-05,0.32512331
51,3.13E-05,0.354536206
53,3.14E-05,0.379478216
55,3.84E-05,0.431111127
57,3.05E-05,0.436454713
59,3.96E-05,0.506558478
61,3.66E-05,0.54193908
63,3.97E-05,0.570456445
65,4.40E-05,0.676726282
67,4.30E-05,0.791968703
69,4.74E-05,0.749435544
71,5.11E-05,0.810988545
73,5.35E-05,0.944665492
75,5.52E-05,1.184125423
77,5.14E-05,1.078979492
79,6.31E-05,1.185451388
81,6.62E-05,1.361067295
83,6.84E-05,1.424351454
85,7.10E-05,1.314340353
87,8.28E-05,1.235527039
89,1.43E-04,1.277721763
91,1.43E-04,1.363997936
93,1.41E-04,1.402532816
95,1.63E-04,1.675417781
97,1.43E-04,1.669745684
99,1.54E-04,1.752492309
101,1.60E-04,1.930229783
103,1.81E-04,1.960944772
105,1.81E-04,2.003309727
107,1.99E-04,1.915965319
109,1.96E-04,2.05638957
111,1.67E-04,2.224086046
113,1.82E-04,2.063879967
115,1.24E-04,2.245644808
117,6.37E-05,2.130462408
119,4.30E-05,2.388362646
121,4.67E-05,2.588071346
123,4.17E-05,2.371366978
125,3.98E-05,2.470870256
127,4.64E-05,3.033933163
129,4.31E-05,2.672573805
131,4.17E-05,2.891127348
133,5.87E-05,2.839933157
135,5.32E-05,2.885539055
137,4.76E-05,3.070156813
139,4.99E-05,3.065623999
141,5.39E-05,3.119211435
143,5.23E-05,3.357321024
145,5.28E-05,3.307224274
147,5.77E-05,3.641236782
149,5.53E-05,3.511552572
151,5.76E-05,3.621535063
153,6.30E-05,3.918309212
155,6.43E-05,4.268163204
157,6.47E-05,3.869219303
159,6.29E-05,4.021822929
161,6.56E-05,
163,6.68E-05,
165,7.34E-05,
167,6.88E-05,
169,7.55E-05,
171,1.53E-04,
173,8.02E-05,
175,8.28E-05,
177,8.10E-05,
179,7.95E-05,
181,8.02E-05,
183,8.43E-05,
185,8.49E-05,
187,8.90E-05,
189,9.45E-05,
191,1.01E-04,
193,1.09E-04,
195,1.03E-04,
197,1.03E-04,
199,1.29E-04,
201,1.27E-04,
203,1.24E-04,
