,Sorter0,Sorter3,Sorter4,Sorter5,Sorter2,Sorter1
ArrayLength,Runtime A,Runtime D,Runtime E,Runtime F,Runtime C,Runtime B
1,1.58E-06,2.21E-06,2.17E-06,1.00E-06,2.17E-06,2.71E-06
201,0.047233667,4.39E-04,0.001319333,5.16E-04,0.041898414,2.00E-04
401,0.001869959,0.001201708,0.001832167,0.002447417,0.062937587,1.19E-04
601,0.002378458,7.99E-04,0.003511541,0.001488375,0.158320874,1.56E-04
801,0.002894292,0.006665,0.00644025,0.005610084,0.151157543,9.06E-04
1001,0.003611292,0.005699084,0.006597625,6.86E-04,0.255636066,7.16E-04
1201,0.003042333,9.88E-04,0.0078795,9.46E-04,0.373032004,1.81E-04
1401,0.005082958,0.001306584,0.006096959,0.001278042,0.497240454,1.95E-04
1601,0.005064209,0.001734458,0.006642125,0.001690458,0.807071805,2.21E-04
1801,0.005793458,0.001339334,0.007369125,0.002057792,0.830800712,2.54E-04
2001,0.008179708,0.00166025,0.012764833,0.002598792,0.987349272,2.81E-04
2201,0.007297417,0.001975666,0.008931625,0.003131083,1.10532558,3.01E-04
2401,0.005693167,0.002343875,0.009785333,0.003691625,1.38043499,3.27E-04
2601,0.010601584,0.002827167,0.012059958,0.004393,1.60535419,3.61E-04
2801,0.008867,0.003176333,0.014045959,0.005080917,2.00547719,3.94E-04
3001,0.010520084,0.003617917,0.016263833,0.005918833,2.667140245,5.45E-04
3201,0.010997375,0.004151083,0.015367583,0.006550166,2.788866758,4.52E-04
3401,0.009151042,0.004650209,0.013937542,0.007495708,2.932253838,4.84E-04
3601,0.008704333,0.005028459,0.014759333,0.008085125,3.022350073,4.89E-04
3801,0.010095458,0.005905791,0.040324338,0.009603792,3.642058611,5.36E-04
4001,0.020129085,0.006366333,0.021817541,0.01021175,4.585652828,5.94E-04
4201,0.012145625,0.006995208,0.020559708,0.011244541,4.287849426,6.81E-04
4401,0.010994583,0.007439208,0.022343084,0.012659209,5.595283508,6.24E-04
4601,0.011280791,0.008151625,0.021671832,0.012955916,5.142416954,6.45E-04
4801,0.011802458,0.0088415,0.021320624,0.014362792,5.173099041,6.66E-04
5001,0.012491708,0.009768125,0.034174293,0.01595871,6.202619076,6.93E-04
5201,0.013024958,0.011225917,0.045178752,0.01778846,25.68966103,7.12E-04
5401,0.026042668,0.011211041,0.022350458,0.018069416,9.958251953,8.13E-04
5601,0.016594416,0.012071417,0.02396754,0.019495292,8.997124672,7.69E-04
5801,0.014454042,0.013401291,0.04062425,0.021533584,20.26597404,8.15E-04
6001,0.019575331,0.01495275,0.055590831,0.024240123,13.27095795,8.94E-04
6201,0.038272917,0.01510175,0.033149585,0.02418446,14.24359226,0.001532459
6401,0.028418999,0.0160255,0.030639665,0.02557496,12.3103056,9.32E-04
6601,0.021603124,0.016942084,0.036157876,0.027535666,11.9995718,9.38E-04
6801,0.0224235,0.0180445,0.03470625,0.028651709,13.58642673,0.001033625
7001,0.028500168,0.019088043,0.052635416,0.030785792,13.83256817,0.001028208
7201,0.020115584,0.020224584,0.03782279,0.032218084,13.96489048,0.001016167
7401,0.02230325,0.021489168,0.042374667,0.034385208,14.72367764,0.001624875
7601,0.0232975,0.022721415,0.036195207,0.036399167,15.96770096,0.001079958
7801,0.022835292,0.024026459,0.05056667,0.038796544,16.64858055,0.001109333
8001,0.029657377,0.025187461,0.039266583,0.040584914,16.54564095,0.001219584
8201,0.027323624,0.026404168,0.043546125,0.042524293,17.57258415,0.001176833
8401,0.048119415,0.027764875,0.046709333,0.044379625,18.82540321,0.001221167
8601,0.028544793,0.02931504,0.047128376,0.046858456,19.9233551,0.0012425
8801,0.024928832,0.031288374,0.06485717,0.049251333,22.69023705,0.001737333
9001,0.056874458,0.031963374,0.051770125,0.051871624,23.80933762,0.001335125
9201,0.032177877,0.033453207,0.057097085,0.052774586,26.79217911,0.001367166
9401,0.033207543,0.035333455,0.059892833,0.057759456,23.12188721,0.002542667
9601,0.034503169,0.036696501,0.049996916,0.097237252,24.49168968,0.0014225
9801,0.030085292,0.038526166,1.032875657,0.060345709,25.22681808,0.001445375
