,Sorter0,Sorter1,Sorter2,Sorter3,Sorter4,Sorter5
ArrayLength,Runtime A,Runtime B,Runtime C,Runtime D,Runtime E,Runtime F
1,1.29E-06,1.08E-06,5.84E-07,6.25E-07,7.50E-07,5.83E-07
51,1.32E-04,4.65E-05,1.32E-05,3.10E-05,1.99E-04,4.58E-06
101,2.51E-04,6.02E-05,3.01E-05,1.06E-04,3.10E-04,8.38E-06
151,5.14E-04,3.59E-05,4.18E-05,2.34E-04,8.97E-04,5.17E-06
201,3.99E-04,4.47E-05,5.50E-05,4.13E-04,6.33E-04,6.04E-06
251,8.36E-04,5.70E-05,9.24E-05,6.45E-04,9.25E-04,8.71E-06
301,7.02E-04,7.05E-05,1.09E-04,2.24E-04,0.001510667,9.96E-06
351,6.91E-04,8.07E-05,8.37E-05,2.56E-04,0.001184083,1.07E-05
401,8.21E-04,8.27E-05,9.40E-05,3.16E-04,0.001354333,1.20E-05
451,9.07E-04,1.04E-04,1.08E-04,4.00E-04,0.001989916,1.50E-05
501,0.001824667,1.28E-04,1.25E-04,5.25E-04,0.002435875,2.23E-05
551,0.001409292,1.31E-04,1.39E-04,6.35E-04,0.002844875,1.85E-05
601,0.00156475,1.45E-04,1.51E-04,7.53E-04,0.002341959,1.92E-05
651,0.001812208,1.40E-04,1.58E-04,8.88E-04,0.004867833,2.14E-05
701,0.001576625,7.23E-04,1.62E-04,9.63E-04,0.002399792,2.05E-05
751,0.001646334,7.19E-04,3.03E-04,0.001175083,0.003203666,2.49E-05
801,0.002115917,8.44E-04,2.05E-04,0.001356709,0.004452916,2.74E-05
851,0.002950833,8.90E-04,2.09E-04,0.001507542,0.006768417,2.52E-05
901,0.002260792,9.68E-04,2.49E-04,0.001692333,0.004855875,3.13E-05
951,0.003662458,9.77E-04,2.33E-04,0.001827291,0.004599791,2.82E-05
