Sorter0,,Sorter1,,Sorter2,,Sorter3,,Sorter4,,Sorter5,,
ArrayLength,Runtime,ArrayLength,Runtime,ArrayLength,Runtime,ArrayLength,Runtime,ArrayLength,Runtime,ArrayLength,Runtime,
1,1.0830000292116893E-6,1,9.58999976319319E-7,1,6.669999947916949E-7,1,7.090000053722179E-7,1,4.999999987376214E-7,1,6.660000053670956E-7,
51,1.267079933313653E-4,51,4.774999979417771E-5,51,1.329200040345313E-5,51,3.033299981325399E-5,51,2.495420048944652E-4,51,2.333000111320871E-6,
101,2.5020900648087263E-4,101,4.637500023818575E-5,101,3.387499964446761E-5,101,1.0587499855319038E-4,101,3.6358399665914476E-4,101,1.3374999980442226E-5,
151,3.522500046528876E-4,151,3.3332999009871855E-5,151,4.216600063955411E-5,151,2.3354199947789311E-4,151,6.927080103196204E-4,151,5.207999947742792E-6,
201,5.702080088667572E-4,201,4.504100070334971E-5,201,5.424999835668132E-5,201,4.109170113224536E-4,201,7.446659728884697E-4,201,6.457999916165136E-6,
251,5.384579999372363E-4,251,5.6624998251209036E-5,251,6.379200203809887E-5,251,6.448749918490648E-4,251,7.936250185593963E-4,251,8.416999662586022E-6,
301,6.154589937068522E-4,301,7.51249972381629E-5,301,8.045900176512077E-5,301,2.632079995237291E-4,301,0.0010660840198397636,301,1.0042000212706625E-5,
351,7.41249998100102E-4,351,9.079199662664905E-5,351,8.82500025909394E-5,351,2.639169979374856E-4,351,0.0012104170164093375,351,1.0750000001280569E-5,
401,0.002463374985381961,401,8.916699880501255E-5,401,9.870799840427935E-5,401,3.3687500399537385E-4,401,0.003492458024993539,401,1.3875000149710104E-5,
451,0.0012012500083073974,451,1.1008299770765007E-4,451,1.2312500621192157E-4,451,4.2583400500006974E-4,451,0.01863604225218296,451,1.4459000340139028E-5,
501,0.001056874985806644,501,5.166250048205256E-4,501,1.446249953005463E-4,501,4.933750024065375E-4,501,0.0016312500229105353,501,1.4541000382450875E-5,
551,0.0012063330505043268,551,5.323329824022949E-4,551,1.3383300392888486E-4,551,6.174159934744239E-4,551,0.002072625095024705,551,1.6166999557754025E-5,
601,0.0013660830445587635,601,5.908340099267662E-4,601,1.4237500727176666E-4,601,7.301250007003546E-4,601,0.022151999175548553,601,2.166699960071128E-5,
651,0.013668958097696304,651,5.913749919272959E-4,651,1.5204200462903827E-4,651,8.664160268381238E-4,651,0.051713377237319946,651,2.3541000700788572E-5,
701,0.01373958308249712,701,7.802079780958593E-4,701,0.002253167098388076,701,2.0058300287928432E-4,701,0.01116962544620037,701,2.3833999875932932E-5,
751,0.003618750022724271,751,8.13000020571053E-4,751,1.8454100063536316E-4,751,1.9262499699834734E-4,751,0.01578366570174694,751,2.433299960102886E-5,
801,0.007347790990024805,801,7.461250061169267E-4,801,1.8674999591894448E-4,801,2.0237499848008156E-4,801,0.007236499805003405,801,2.604200017231051E-5,
851,0.003259458113461733,851,8.523329743184149E-4,851,5.581669975072145E-4,851,2.28749995585531E-4,851,0.0065993331372737885,851,2.6666999474400654E-5,
901,0.0034699169918894768,901,9.530829847790301E-4,901,3.4974998561665416E-4,901,2.448330051265657E-4,901,0.005930542014539242,901,3.108400051132776E-5,
951,0.0030757500790059566,951,8.716249722056091E-4,951,2.8316699899733067E-4,951,2.7225000667385757E-4,951,0.011600958183407784,951,3.300000025774352E-5,
1001,0.00879175029695034,1001,9.109579841606319E-4,1001,8.279579924419522E-4,1001,2.825419942382723E-4,1001,0.006423249840736389,1001,3.24159991578199E-5,
1051,0.0036140000447630882,1051,9.369580075144768E-4,1051,3.017919952981174E-4,1051,3.1083301291801035E-4,1051,0.0076586659997701645,1051,3.2500000088475645E-5,
1101,0.004229709040373564,1101,0.0011012080358341336,1101,2.8716601082123816E-4,1101,3.403750015422702E-4,1101,0.006579875014722347,1101,3.5000000934815034E-5,
1151,0.0048094578087329865,1151,0.0010838330490514636,1151,2.693750138860196E-4,1151,3.3745900145731866E-4,1151,0.006395124830305576,1151,4.28749990533106E-5,
1201,0.004930125083774328,1201,3.8795798900537193E-4,1201,3.0279200291261077E-4,1201,3.836250107269734E-4,1201,0.007101917173713446,1201,3.6042001738678664E-5,
1251,0.005087832920253277,1251,1.2916700507048517E-4,1251,3.078749869018793E-4,1251,4.1412501013837755E-4,1251,0.00982804223895073,1251,3.96249997720588E-5,
1301,0.00478370813652873,1301,1.2812500062864274E-4,1301,3.135839942842722E-4,1301,4.29667008575052E-4,1301,0.0071165841072797775,1301,4.087499837623909E-5,
1351,0.007022041827440262,1351,1.340830058325082E-4,1351,3.253330069128424E-4,1351,4.6362500870600343E-4,1351,0.010166709311306477,1351,9.216699982061982E-5,
1401,0.005775833036750555,1401,3.3812501351349056E-4,1401,8.50957992952317E-4,1401,4.845829971600324E-4,1401,0.011035666801035404,1401,4.624999928637408E-5,
1451,0.00703374994918704,1451,1.4295900473371148E-4,1451,4.414590075612068E-4,1451,5.292919813655317E-4,1451,0.014598707668483257,1451,5.824999971082434E-5,
1501,0.006687916815280914,1501,1.4874999760650098E-4,1501,7.852499838918447E-4,1501,5.550840287469327E-4,1501,0.006164458114653826,1501,4.6624998503830284E-5,
1551,0.007741500157862902,1551,1.5454199456144124E-4,1551,3.74249997548759E-4,1551,5.883750272914767E-4,1551,0.009641332551836967,1551,5.0292001105844975E-5,
1601,0.005793999880552292,1601,1.641669950913638E-4,1601,6.818330148234963E-4,1601,0.001157167018391192,1601,0.0070477500557899475,1601,4.8083998990477994E-5,
