Sorter0,,Sorter1,,Sorter2,
ArrayLength,Runtime C,ArrayLength,Runtime,ArrayLength,Runtime
1,1.83E-06,1,1.21E-06,1,1.33E-06
51,0.001160833,51,2.88E-05,51,8.54E-06
101,0.005489208,101,1.09E-04,101,4.38E-06
151,0.00942425,151,2.40E-04,151,6.88E-06
201,0.017721539,201,4.15E-04,201,8.29E-06
251,0.025543666,251,6.53E-04,251,9.13E-06
301,0.032704625,301,2.34E-04,301,1.15E-05
351,0.041235626,351,2.79E-04,351,1.21E-05
401,0.05142846,401,1.17E-04,401,1.47E-05
451,0.075287335,451,5.38E-05,451,1.77E-05
501,0.111439958,501,9.45E-05,501,1.70E-05
551,0.124884285,551,7.07E-05,551,2.33E-05
601,0.107745081,601,8.31E-05,601,2.00E-05
651,0.095430084,651,1.00E-04,651,2.34E-05
701,0.133589,701,1.19E-04,701,4.62E-05
751,0.185787871,751,1.28E-04,751,2.21E-05
801,0.154361218,801,1.44E-04,801,2.45E-05
851,0.162634373,851,1.57E-04,851,2.32E-05
901,0.211631164,901,1.81E-04,901,3.15E-05
951,0.228884757,951,2.03E-04,951,3.50E-05
1001,0.281493902,1001,2.22E-04,1001,2.94E-05
1051,0.295569688,1051,2.46E-04,1051,3.07E-05
1101,0.289838761,1101,2.67E-04,1101,3.23E-05
1151,0.317622185,1151,2.96E-04,1151,3.31E-05
1201,0.32512331,1201,3.27E-04,1201,3.97E-05
1251,0.354536206,1251,3.45E-04,1251,4.17E-05
1301,0.379478216,1301,3.70E-04,1301,4.23E-05
1351,0.431111127,1351,3.98E-04,1351,4.37E-05
1401,0.436454713,1401,4.35E-04,1401,3.87E-05
1451,0.506558478,1451,4.57E-04,1451,4.56E-05
1501,0.54193908,1501,4.89E-04,1501,4.72E-05
1551,0.570456445,1551,5.42E-04,1551,8.53E-05
1601,0.676726282,1601,5.55E-04,1601,5.93E-05
1651,0.791968703,1651,5.93E-04,1651,6.75E-05
1701,0.749435544,1701,6.28E-04,1701,5.02E-05
1751,0.810988545,1751,6.67E-04,1751,4.93E-05
1801,0.944665492,1801,6.79E-04,1801,5.36E-05
1851,1.184125423,1851,7.42E-04,1851,5.63E-05
1901,1.078979492,1901,8.53E-04,1901,5.76E-05
1951,1.185451388,1951,8.10E-04,1951,5.83E-05
2001,1.361067295,2001,8.69E-04,2001,6.09E-05
2051,1.424351454,2051,8.80E-04,2051,5.54E-05
2101,1.314340353,2101,9.52E-04,2101,5.92E-05
2151,1.235527039,2151,0.0010015,2151,6.47E-05
2201,1.277721763,2201,0.001017667,2201,6.09E-05
2251,1.363997936,2251,0.001089375,2251,6.46E-05
2301,1.402532816,2301,0.001148042,2301,7.05E-05
2351,1.675417781,2351,0.001191666,2351,6.75E-05
2401,1.669745684,2401,0.001213667,2401,7.18E-05
2451,1.752492309,2451,0.001294167,2451,8.22E-05
2501,1.930229783,2501,0.001307375,2501,7.30E-05
2551,1.960944772,2551,0.001398709,2551,4.10E-05
2601,2.003309727,2601,0.001463417,2601,2.20E-05
2651,1.915965319,2651,0.001522583,2651,3.04E-05
2701,2.05638957,2701,0.001540667,2701,1.96E-05
2751,2.224086046,2751,0.001584375,2751,1.99E-05
2801,2.063879967,2801,0.001644333,2801,2.78E-05
2851,2.245644808,2851,0.001698875,2851,2.23E-05
2901,2.130462408,2901,0.001768834,2901,2.25E-05
2951,2.388362646,2951,0.001851417,2951,5.28E-05
3001,2.588071346,3001,0.001988583,3001,2.25E-05
3051,2.371366978,3051,0.001951084,3051,3.65E-05
3101,2.470870256,3101,0.002008459,3101,2.20E-05
3151,3.033933163,3151,0.002094375,3151,2.42E-05
3201,2.672573805,3201,0.002136166,3201,5.00E-05
3251,2.891127348,3251,0.002212166,3251,2.48E-05
3301,2.839933157,3301,0.002274083,3301,7.28E-05
3351,2.885539055,3351,0.002352167,3351,3.79E-06
3401,3.070156813,3401,0.002431375,3401,3.83E-06
3451,3.065623999,3451,0.002478583,3451,4.50E-06
3501,3.119211435,3501,0.002556708,3501,4.04E-06
3551,3.357321024,3551,0.002637375,3551,3.71E-06
3601,3.307224274,3601,0.002700708,3601,4.00E-06
3651,3.641236782,3651,0.002782416,3651,4.04E-06
3701,3.511552572,3701,0.00286125,3701,5.71E-06
3751,3.621535063,3751,0.002964084,3751,5.88E-06
3801,3.918309212,3801,0.003032916,3801,3.96E-06
3851,4.268163204,3851,0.003091208,3851,5.38E-06
3901,3.869219303,3901,0.003171,3901,4.08E-06
3951,4.021822929,3951,0.003269916,3951,5.42E-06
