Sorter0,,Sorter1,,
ArrayLength,Runtime,ArrayLength,Runtime,
1,1.916999963214039E-6,1,9.17000022582215E-7,
3,8.70000003487803E-5,3,1.0420000080557656E-6,
5,3.4584001696202904E-5,5,6.166999810375273E-6,
7,1.4082999769016169E-5,7,7.500000265281415E-7,
9,1.870900086942129E-5,9,8.750000120016921E-7,
11,3.74590017599985E-5,11,8.750000120016921E-7,
13,2.8667000151472166E-5,13,8.750000120016921E-7,
15,4.837500091525726E-5,15,9.579999868947198E-7,
17,6.858300184831023E-5,17,1.0420000080557656E-6,
19,1.1312500282656401E-4,19,1.3330000001587905E-6,
21,1.242909929715097E-4,21,1.1670000503727351E-6,
23,1.532500027678907E-4,23,1.6249999816864147E-6,
25,1.5483300376217812E-4,25,1.3339999895833898E-6,
27,3.353749925736338E-4,27,1.5419999499499681E-6,
29,8.083329885266721E-4,29,1.0333000318496488E-5,
31,3.3245800295844674E-4,31,4.042000000481494E-6,
33,4.1179198888130486E-4,33,2.125000037267455E-6,
35,8.942909771576524E-4,35,2.5829999685811345E-6,
37,5.322499782778323E-4,37,1.9999999949504854E-6,
39,0.0010507910046726465,39,2.2500000795844244E-6,
41,0.001017416943795979,41,2.708000010898104E-6,
43,6.559159955941141E-4,43,2.457999926264165E-6,
45,6.591249839402735E-4,45,2.167000047847978E-6,
47,6.68165972456336E-4,47,2.750000021478627E-6,
49,9.786250302568078E-4,49,2.958000095532043E-6,
51,0.0019715840462595224,51,4.12500003221794E-6,
53,0.001111250021494925,53,3.3339999845338752E-6,
55,0.001379834022372961,55,2.79200003205915E-6,
57,0.0011865829583257437,57,3.082999910475337E-6,
59,0.0011859589722007513,59,2.499999936844688E-6,
61,9.504579938948154E-4,61,3.583000079743215E-6,
63,0.001231375033967197,63,3.000000106112566E-6,
65,0.0018778749508783221,65,1.637499917706009E-5,
67,0.001068916986696422,67,2.8330000532150734E-6,
69,0.0012784580467268825,69,2.7910000426345505E-6,
71,0.0016404580092057586,71,2.8340000426396728E-6,
73,0.0013878330355510116,73,2.8750000637955964E-6,
75,0.002168457955121994,75,3.2079999527923064E-6,
77,0.001087708049453795,77,2.5829999685811345E-6,
79,0.0013160420348867774,79,4.583000190905295E-6,
81,0.016838207840919495,81,3.5000000480067683E-6,
83,0.00391008285805583,83,3.0419998893194133E-6,
85,0.0018458330305293202,85,3.0839998998999363E-6,
87,0.0019912500865757465,87,7.70800033933483E-6,
89,0.0020193750970065594,89,4.208000063954387E-6,
91,0.0035973340272903442,91,3.6660001114796614E-6,
93,0.004946166183799505,93,3.999999989900971E-6,
95,0.002078500110656023,95,3.791999915847555E-6,
97,0.002852208912372589,97,3.832999937003478E-6,
99,0.0024821669794619083,99,3.6670001009042608E-6,
101,0.002765374956652522,101,8.957999853009824E-6,
103,0.001986500108614564,103,6.24999984211172E-6,
105,0.003029333893209696,105,4.083000021637417E-6,
107,0.0022046249359846115,107,3.749999905267032E-6,
109,0.003037415910512209,109,4.666000222641742E-6,
111,0.003035666886717081,111,4.209000053378986E-6,
113,0.005924374796450138,113,4.375000116851879E-6,
115,0.0038502910174429417,115,4.666000222641742E-6,
117,0.002856709063053131,117,4.334000095695956E-6,
119,0.004886417184025049,119,4.417000127432402E-6,
121,0.002990625100210309,121,7.915999958640896E-6,
123,0.02009945921599865,123,1.0292000297340564E-5,
125,0.007815166376531124,125,5.750000127591193E-6,
127,0.005851792171597481,127,7.250000180647476E-6,
129,0.007034958805888891,129,5.5840000641183E-6,
131,0.00565787497907877,131,5.5830000746937E-6,
133,0.014422625303268433,133,5.792000138171716E-6,
135,0.009686624631285667,135,6.12499979979475E-6,
137,0.006956583820283413,137,1.1000000085914508E-5,
139,0.019771041348576546,139,1.1500000255182385E-5,
141,0.015068874694406986,141,1.1791000360972248E-5,
143,0.004833584185689688,143,1.6665999282849953E-5,
145,0.0036400840617716312,145,4.916999841952929E-6,
147,0.004119415767490864,147,4.167000042798463E-6,
149,0.004719708114862442,149,5.333999979484361E-6,
151,0.029283249750733376,151,3.4790999052347615E-5,
153,0.02681116759777069,153,4.832999820791883E-6,
155,0.017729539424180984,155,5.833000159327639E-6,
157,0.007675082888454199,157,5.709000106435269E-6,
159,0.011656916700303555,159,5.5830000746937E-6,
161,0.007284124847501516,161,5.667000095854746E-6,
163,0.008659083396196365,163,6.083999778638827E-6,
165,0.0061687082052230835,165,9.667000085755717E-6,
167,0.006263125222176313,167,1.0624999958963599E-5,
169,0.00827858317643404,169,1.0415999895485584E-5,
171,0.00799262523651123,171,6.290999863267643E-6,
173,0.006680583115667105,173,5.750000127591193E-6,
175,0.008028250187635422,175,8.707999768375885E-6,
177,0.007190333213657141,177,8.832999810692854E-6,
179,0.007782333996146917,179,5.290999979479238E-6,
181,0.006597667001187801,181,4.958999852533452E-6,
183,0.007795208133757114,183,5.625000085274223E-6,
185,0.008396250195801258,185,5.041999884269899E-6,
187,0.008067875169217587,187,2.183399919886142E-5,
189,0.00672029098495841,189,6.083999778638827E-6,
191,0.009935791604220867,191,1.5419999499499681E-6,
193,0.009688000194728374,193,1.5829999711058917E-6,
195,0.008537082932889462,195,1.583999960530491E-6,
197,0.008772834204137325,197,1.7080000134228612E-6,
199,0.00792370829731226,199,1.583999960530491E-6,
201,0.008017958141863346,201,1.6249999816864147E-6,
203,0.008453667163848877,203,1.6660000028423383E-6,
205,0.008364999666810036,205,6.000000212225132E-6,
