Sorter0,,
ArrayLength,Runtime,
1,1.416000031895237E-6,
3,2.415999915683642E-6,
5,1.165999947261298E-6,
7,1.5409999605253688E-6,
9,1.9999999949504854E-6,
11,2.2920000901649473E-6,
13,3.000000106112566E-6,
15,4.167000042798463E-6,
17,4.999999873689376E-6,
19,1.5583000276819803E-5,
21,7.457999799953541E-6,
23,7.874999937484972E-6,
25,8.875000276020728E-6,
27,1.104199964174768E-5,
29,1.1457999789854512E-5,
31,1.4250000276661012E-5,
33,1.475000044592889E-5,
35,1.662499926169403E-5,
37,1.795800017134752E-5,
39,1.9791999875451438E-5,
41,2.474999928381294E-5,
43,2.3582999347127043E-5,
45,2.5916999220498838E-5,
47,3.0750001315027475E-5,
49,2.9999999242136255E-5,
51,3.2625001040287316E-5,
53,3.550000110408291E-5,
55,3.7500001781154424E-5,
57,3.7709000025643036E-5,
59,4.099999932805076E-5,
61,4.5000000682193786E-5,
63,4.70000013592653E-5,
65,4.8958001571008936E-5,
67,5.429199882200919E-5,
69,6.337500235531479E-5,
71,5.804100146633573E-5,
73,6.120799662312493E-5,
75,6.462499732151628E-5,
77,6.704199768137187E-5,
79,7.095799810485914E-5,
81,7.52909982111305E-5,
83,8.129100024234504E-5,
85,8.262500341515988E-5,
87,9.074999979929999E-5,
89,9.516599675407633E-5,
91,9.395799861522391E-5,
93,9.729099838295951E-5,
95,4.2584000766510144E-5,
97,2.912499985541217E-5,
99,3.8458001654362306E-5,
101,4.437499956111424E-5,
103,3.9375001506414264E-5,
105,3.733300036401488E-5,
107,4.058299964526668E-5,
109,2.9832999643986113E-5,
111,2.79159994533984E-5,
113,2.9749999157502316E-5,
115,3.23329986713361E-5,
117,3.362500137882307E-5,
119,3.4374999813735485E-5,
121,3.5832999856211245E-5,
123,3.6665998777607456E-5,
125,3.670799924293533E-5,
127,3.8540998502867296E-5,
129,4.025000089313835E-5,
131,4.145899947616272E-5,
133,4.262500078766607E-5,
135,4.337499922257848E-5,
137,4.441700002644211E-5,
139,4.558400178211741E-5,
141,4.7165998694254085E-5,
143,4.8417001380585134E-5,
145,4.958299905410968E-5,
147,5.0499998906161636E-5,
