Sorter0,,
ArrayLength,Runtime,
1,1.916999963214039E-6,
3,2.333000111320871E-6,
5,1.0420000080557656E-6,
7,1.1250000397922122E-6,
9,1.7920000345839071E-6,
11,2.2500000795844244E-6,
13,2.5829999685811345E-6,
15,2.499999936844688E-6,
17,3.833999926428078E-6,
19,4.749999789055437E-6,
21,6.708999990223674E-6,
23,1.9167000573361292E-5,
25,7.541999821114587E-6,
27,8.082999556791037E-6,
29,9.207999937643763E-6,
31,1.3582999599748291E-5,
33,1.4041000213182997E-5,
35,2.645799941092264E-5,
37,1.5833000361453742E-5,
39,1.8999999156221747E-5,
41,1.5584000720991753E-5,
43,1.7250000382773578E-5,
45,2.1290999939083122E-5,
47,2.45829996856628E-5,
49,3.1042000045999885E-5,
51,3.1332998332800344E-5,
53,3.137499879812822E-5,
55,3.837500116787851E-5,
57,3.0540999432560056E-5,
59,3.9582999306730926E-5,
61,3.662499875645153E-5,
63,3.97080002585426E-5,
65,4.400000034365803E-5,
67,4.3000000005122274E-5,
69,4.741700104204938E-5,
71,5.108299956191331E-5,
73,5.354099994292483E-5,
75,5.524999869521707E-5,
77,5.137499829288572E-5,
79,6.312500045169145E-5,
81,6.62079983158037E-5,
83,6.841599679319188E-5,
85,7.100000220816582E-5,
87,8.279200119432062E-5,
89,1.4312499843072146E-4,
91,1.4341599307954311E-4,
93,1.4099999680183828E-4,
95,1.6320799477398396E-4,
97,1.432919962098822E-4,
99,1.5416700625792146E-4,
101,1.5987499500624835E-4,
103,1.8112499674316496E-4,
105,1.8099999579135329E-4,
107,1.9858400628436357E-4,
109,1.9550000433810055E-4,
111,1.6729200433474034E-4,
113,1.820839970605448E-4,
115,1.2387499737087637E-4,
117,6.366599700413644E-5,
119,4.3000000005122274E-5,
121,4.6749999455641955E-5,
123,4.1667000914458185E-5,
125,3.983300121035427E-5,
127,4.641700070351362E-5,
129,4.308300049160607E-5,
131,4.1667000914458185E-5,
133,5.8707999414764345E-5,
135,5.316700116964057E-5,
137,4.7582998377038166E-5,
139,4.991699825040996E-5,
141,5.387499913922511E-5,
143,5.233300180407241E-5,
145,5.283299833536148E-5,
147,5.770799907622859E-5,
149,5.5290998716372997E-5,
151,5.758399856858887E-5,
153,6.304200360318646E-5,
155,6.425000174203888E-5,
157,6.470899825217202E-5,
159,6.28749985480681E-5,
161,6.558300083270296E-5,
163,6.679200305370614E-5,
165,7.341700256802142E-5,
167,6.879199645482004E-5,
169,7.550000009359792E-5,
171,1.527090062154457E-4,
173,8.024999988265336E-5,
175,8.283399802166969E-5,
177,8.104200242087245E-5,
179,7.945900142658502E-5,
181,8.016700303414837E-5,
183,8.433400216745213E-5,
185,8.49170028232038E-5,
187,8.904199785320088E-5,
189,9.454099927097559E-5,
191,1.0070799908135086E-4,
193,1.0941600339720026E-4,
195,1.0329199722036719E-4,
197,1.0304099851055071E-4,
199,1.292910019401461E-4,
201,1.2720799713861197E-4,
203,1.2387499737087637E-4,
205,1.6912500723265111E-4,
207,1.237499964190647E-4,
209,1.2520799646154046E-4,
211,1.24333004350774E-4,
213,1.2604199582710862E-4,
215,1.2408300244715065E-4,
217,1.2774999777320772E-4,
219,1.2929200602229685E-4,
221,1.255410024896264E-4,
223,1.2845899618696421E-4,
225,1.3025000225752592E-4,
227,1.2766699364874512E-4,
229,1.299580035265535E-4,
231,1.3000000035390258E-4,
233,1.351670071016997E-4,
235,1.33916997583583E-4,
237,1.3216599472798407E-4,
239,1.3270799536257982E-4,
241,1.3633299386128783E-4,
243,1.3470799603965133E-4,
245,1.3487499381881207E-4,
247,3.920900053344667E-5,
249,4.029200135846622E-5,
251,4.141699901083484E-5,
253,8.70000003487803E-5,
255,4.058299964526668E-5,
257,4.233299841871485E-5,
259,4.170900137978606E-5,
261,4.2499999835854396E-5,
263,4.3542000639718026E-5,
265,4.324999827076681E-5,
267,4.6042001486057416E-5,
269,4.670799899031408E-5,
271,4.4874999730382115E-5,
273,4.504200114752166E-5,
275,4.9250000301981345E-5,
277,5.012499968870543E-5,
279,4.858299871557392E-5,
281,4.983300095773302E-5,
283,5.541700011235662E-5,
285,5.212500036577694E-5,
287,5.9124999097548425E-5,
289,5.429199882200919E-5,
291,5.137499829288572E-5,
293,5.2999999752501026E-5,
295,5.716599844163284E-5,
297,5.533299918170087E-5,
299,5.558300108532421E-5,
301,5.945899829384871E-5,
303,5.866699939360842E-5,
305,6.0708000091835856E-5,
307,5.949999831500463E-5,
309,5.9541998780332506E-5,
311,5.945899829384871E-5,
313,6.233299791347235E-5,
315,6.17909972788766E-5,
317,6.395899981725961E-5,
319,6.516699795611203E-5,
321,6.666599801974371E-5,
323,6.241600203793496E-5,
325,6.358300015563145E-5,
327,7.133300096029416E-5,
329,6.979199679335579E-5,
331,7.175000064307824E-5,
333,7.075000030454248E-5,
335,6.708400178467855E-5,
337,7.424999785143882E-5,
339,7.679199916310608E-5,
341,7.491699943784624E-5,
343,7.92499995441176E-5,
345,7.945799734443426E-5,
347,7.80830014264211E-5,
349,7.850000110920519E-5,
351,7.766600174363703E-5,
353,7.829099922673777E-5,
355,7.891700079198927E-5,
357,7.520800136262551E-5,
359,7.891599670983851E-5,
361,8.283399802166969E-5,
363,8.441699901595712E-5,
365,9.120900358539075E-5,
367,8.074999641394243E-5,
369,8.445799903711304E-5,
371,9.137499728240073E-5,
373,8.679099846631289E-5,
375,9.158399916486815E-5,
377,9.19579979381524E-5,
379,8.858399814926088E-5,
381,9.224999666912481E-5,
383,9.633399895392358E-5,
385,9.420800051884726E-5,
387,9.012500231619924E-5,
389,9.504199988441542E-5,
391,9.795899677556008E-5,
393,1.044590026140213E-4,
395,9.475000115344301E-5,
397,1.077920023817569E-4,
399,9.737499931361526E-5,
401,1.0274999658577144E-4,
403,9.904200123855844E-5,
405,1.0587499855319038E-4,
407,1.0350000229664147E-4,
409,1.0966599802486598E-4,
411,1.1008299770765007E-4,
413,1.1087500024586916E-4,
415,1.110419980250299E-4,
417,1.0245900193694979E-4,
419,1.1129199992865324E-4,
421,1.0333299724152312E-4,
423,1.1429099686210975E-4,
425,1.1295799777144566E-4,
427,1.1612499656621367E-4,
429,1.1362499935785308E-4,
431,1.1295799777144566E-4,
433,1.1758400069084018E-4,
435,1.1729200195986778E-4,
437,1.1741599882952869E-4,
439,1.1387500126147643E-4,
441,1.2700000661425292E-4,
443,1.2141600018367171E-4,
445,1.240419951500371E-4,
447,1.1945800360990688E-4,
449,1.2837500253226608E-4,
451,1.3654200301971287E-4,
453,1.290829968638718E-4,
455,1.2645800597965717E-4,
457,1.303750032093376E-4,
459,1.3487499381881207E-4,
461,1.3437500456348062E-4,
463,1.240840065293014E-4,
465,1.369579986203462E-4,
467,1.385829964419827E-4,
469,1.336249988526106E-4,
471,1.4062499394640326E-4,
473,1.3962500088382512E-4,
475,1.3737499830313027E-4,
477,1.3945800310466439E-4,
479,1.397500018356368E-4,
481,1.4745800581295043E-4,
483,1.4116699458099902E-4,
485,1.4545899466611445E-4,
487,1.4670900418423116E-4,
489,1.913330052047968E-4,
491,1.5008400077931583E-4,
493,1.49125000461936E-4,
495,1.5745899872854352E-4,
497,1.4729199756402522E-4,
499,1.7920800019055605E-4,
501,1.4849999570287764E-4,
503,1.6441599291283637E-4,
505,1.5866699686739594E-4,
507,1.5312500181607902E-4,
509,1.577910006744787E-4,
511,1.5804100257810205E-4,
513,1.549580047139898E-4,
515,1.6999999934341758E-4,
517,1.5883300511632115E-4,
519,1.7054199997801334E-4,
521,1.664589944994077E-4,
523,1.6724999295547605E-4,
525,1.6970900469459593E-4,
527,1.6408300143666565E-4,
529,1.6558299830649048E-4,
531,1.63417003932409E-4,
533,1.8133300181943923E-4,
535,1.835409930208698E-4,
537,1.8179199832957238E-4,
539,1.8066700431518257E-4,
541,1.847079984145239E-4,
543,1.7787500109989196E-4,
545,1.756249985191971E-4,
547,1.7387499974574894E-4,
549,1.7683400074020028E-4,
551,1.756249985191971E-4,
553,1.8720900698099285E-4,
555,1.9550000433810055E-4,
557,1.847079984145239E-4,
559,1.838750031311065E-4,
561,1.899579947348684E-4,
563,1.8366699805483222E-4,
565,1.9333399541210383E-4,
567,1.8887499754782766E-4,
569,2.03792005777359E-4,
571,1.962910027941689E-4,
573,1.9999999494757503E-4,
575,2.0037499780301005E-4,
577,2.020840038312599E-4,
579,2.082919963868335E-4,
581,2.0812499860767275E-4,
583,2.1237500186543912E-4,
585,1.9845800125040114E-4,
587,2.243750059278682E-4,
589,2.165829937439412E-4,
591,2.202500036219135E-4,
593,2.2120799985714257E-4,
595,2.105839957948774E-4,
597,2.1749999723397195E-4,
599,2.2258399985730648E-4,
601,2.3041600070428103E-4,
603,2.288329997099936E-4,
605,2.2454099962487817E-4,
607,2.271249977638945E-4,
609,2.1933300013188273E-4,
611,2.2362500021699816E-4,
613,2.3545899603050202E-4,
615,2.3466699349228293E-4,
617,2.3108300229068846E-4,
619,2.3700000019744039E-4,
621,2.3904199770186096E-4,
623,2.344999957131222E-4,
625,2.4158299493137747E-4,
627,4.29290987085551E-4,
629,2.3175000387709588E-4,
631,2.4066699552349746E-4,
633,2.3916599457152188E-4,
635,2.5666700094006956E-4,
637,2.5549999554641545E-4,
639,2.4754198966547847E-4,
641,2.4850000045262277E-4,
643,2.5479099713265896E-4,
645,2.532500075176358E-4,
647,2.488330064807087E-4,
649,2.552499936427921E-4,
651,2.5508401449769735E-4,
653,2.523339935578406E-4,
655,2.5704200379550457E-4,
657,2.546659961808473E-4,
659,2.6274999254383147E-4,
661,2.632910036481917E-4,
663,2.8237499645911157E-4,
665,2.5704200379550457E-4,
667,2.6608299231156707E-4,
669,2.742919896263629E-4,
671,2.587919880170375E-4,
673,2.6341600460000336E-4,
675,2.663749910425395E-4,
677,2.852079924196005E-4,
679,2.80875014141202E-4,
681,2.8395900153554976E-4,
683,2.9083399567753077E-4,
685,2.820419904310256E-4,
687,2.928749890998006E-4,
689,2.7454199152998626E-4,
691,2.8412500978447497E-4,
693,2.996250113938004E-4,
695,2.877080114558339E-4,
697,2.9416600591503084E-4,
699,3.0625000363215804E-4,
701,2.879170060623437E-4,
703,2.937499957624823E-4,
705,2.957090036943555E-4,
707,3.0108398641459644E-4,
709,3.0625000363215804E-4,
711,3.143330104649067E-4,
713,3.1516700983047485E-4,
715,3.1962498906068504E-4,
717,3.1725000008009374E-4,
719,3.2854199525900185E-4,
721,3.287500003352761E-4,
723,3.098339948337525E-4,
725,3.1075000879354775E-4,
727,3.27209010720253E-4,
729,3.227079869247973E-4,
731,3.338750102557242E-4,
733,3.240410005673766E-4,
735,3.222920058760792E-4,
737,3.309159947093576E-4,
739,3.3354200422763824E-4,
741,3.5208300687372684E-4,
743,3.38415993610397E-4,
745,3.2266599009744823E-4,
747,3.3304101089015603E-4,
749,3.3491599606350064E-4,
751,3.2991598709486425E-4,
753,3.288750012870878E-4,
755,3.179580089636147E-4,
757,3.3470799098722637E-4,
759,3.4508301177993417E-4,
761,3.3570799860171974E-4,
763,3.598750045057386E-4,
765,3.642920055426657E-4,
767,3.471249947324395E-4,
769,3.507919900584966E-4,
771,3.660829970613122E-4,
773,3.6612499388866127E-4,
775,3.581669880077243E-4,
777,3.774169890675694E-4,
779,3.579159965738654E-4,
781,3.784589935094118E-4,
783,3.7229200825095177E-4,
785,3.6820900277234614E-4,
787,3.730420139618218E-4,
789,3.8350000977516174E-4,
791,3.7387499469332397E-4,
793,3.89458000427112E-4,
795,3.775829973164946E-4,
797,3.7645798875018954E-4,
799,3.884169855155051E-4,
801,3.877920098602772E-4,
803,3.8870799471624196E-4,
805,4.0441699093207717E-4,
807,3.9895798545330763E-4,
809,3.897499991580844E-4,
811,4.0345799061469734E-4,
813,4.044999950565398E-4,
815,4.0333298966288567E-4,
817,3.921249881386757E-4,
819,3.960409958381206E-4,
821,4.039169871248305E-4,
823,4.006249946542084E-4,
825,4.237910034134984E-4,
827,3.980410110671073E-4,
829,3.9166701026260853E-4,
831,4.0345799061469734E-4,
833,4.127080028411001E-4,
835,3.9266698877327144E-4,
837,4.0862499736249447E-4,
839,4.149999876972288E-4,
841,4.124999977648258E-4,
843,4.3024998740293086E-4,
845,4.4075000914745033E-4,
847,4.3554199510253966E-4,
849,4.377499863039702E-4,
851,4.354999982751906E-4,
853,4.512910090852529E-4,
855,4.4320899178273976E-4,
857,4.52458014478907E-4,
859,4.5583301107399166E-4,
861,4.457079921849072E-4,
863,4.6762501006014645E-4,
865,4.47750004241243E-4,
867,4.6087498776614666E-4,
869,4.436250019352883E-4,
871,4.546669952105731E-4,
873,4.5537500409409404E-4,
875,4.6233300236053765E-4,
877,4.591250035446137E-4,
879,4.7983299009501934E-4,
881,4.7575001372024417E-4,
883,4.756250127684325E-4,
885,4.802499897778034E-4,
887,4.7941700904630125E-4,
889,4.7974998597055674E-4,
891,4.7537501086480916E-4,
893,4.7404199722222984E-4,
895,4.7724999603815377E-4,
897,4.8725001397542655E-4,
899,4.775419947691262E-4,
901,5.035420181229711E-4,
903,5.000000237487257E-4,
905,4.991249879822135E-4,
907,4.929159767925739E-4,
909,5.11875026859343E-4,
911,5.152079975232482E-4,
913,5.050000036135316E-4,
915,5.000830278731883E-4,
917,4.961250233463943E-4,
919,5.144579918123782E-4,
921,5.17958018463105E-4,
923,4.986670101061463E-4,
925,5.001249955967069E-4,
927,5.270830006338656E-4,
929,5.123749724589288E-4,
931,5.237919976934791E-4,
933,5.057909875176847E-4,
935,5.219589802436531E-4,
937,5.556250107474625E-4,
939,5.337499896995723E-4,
941,5.093329818919301E-4,
943,5.137089756317437E-4,
945,5.356249748729169E-4,
947,5.536249955184758E-4,
949,5.557910189963877E-4,
951,5.485839792527258E-4,
953,5.480420077219605E-4,
955,5.535840173251927E-4,
957,5.530000198632479E-4,
959,5.723329959437251E-4,
961,5.604170146398246E-4,
963,5.766249960288405E-4,
965,5.566669860854745E-4,
967,5.682079936377704E-4,
969,5.719169857911766E-4,
971,5.799169884994626E-4,
973,5.594170070253313E-4,
975,5.554159870371222E-4,
977,5.885420250706375E-4,
979,6.079170270822942E-4,
981,5.89250004850328E-4,
983,5.835409974679351E-4,
985,5.810830043628812E-4,
987,0.0011196250561624765,
989,5.804169923067093E-4,
991,5.938750109635293E-4,
993,6.065419875085354E-4,
995,5.800839862786233E-4,
997,5.809590220451355E-4,
999,5.911670159548521E-4,
1001,6.375840166583657E-4,
1003,6.491660024039447E-4,
1005,6.24709005933255E-4,
1007,6.422500009648502E-4,
1009,6.435419782064855E-4,
1011,6.171669811010361E-4,
1013,6.145830266177654E-4,
1015,6.090829847380519E-4,
1017,6.282919785007834E-4,
1019,6.609589909203351E-4,
1021,6.334580248221755E-4,
1023,6.595419836230576E-4,
1025,6.355000077746809E-4,
1027,6.50040979962796E-4,
1029,5.918340175412595E-4,
1031,6.263329996727407E-4,
1033,6.392080103978515E-4,
1035,6.220419891178608E-4,
1037,6.572920246981084E-4,
1039,6.538340239785612E-4,
1041,6.477090064436197E-4,
1043,6.822500145062804E-4,
1045,6.914170226082206E-4,
1047,6.933750119060278E-4,
1049,6.872499943710864E-4,
1051,6.577090243808925E-4,
1053,6.745840073563159E-4,
1055,6.727079744450748E-4,
1057,6.836670218035579E-4,
1059,6.601670174859464E-4,
1061,6.755000213161111E-4,
1063,6.95333001203835E-4,
1065,6.892089731991291E-4,
1067,6.614170270040631E-4,
1069,6.918340222910047E-4,
1071,7.003750069998205E-4,
1073,7.13040994014591E-4,
1075,7.150829769670963E-4,
1077,6.908749928697944E-4,
1079,7.100839866325259E-4,
1081,7.120830123312771E-4,
1083,7.31875014025718E-4,
1085,7.099580252543092E-4,
1087,6.96042028721422E-4,
1089,7.274579838849604E-4,
1091,6.911670207045972E-4,
1093,7.187920273281634E-4,
1095,7.277079857885838E-4,
1097,7.239999831654131E-4,
1099,7.205830188468099E-4,
1101,7.427919772453606E-4,
1103,7.693329825997353E-4,
1105,7.480420172214508E-4,
1107,7.093339809216559E-4,
1109,7.653749780729413E-4,
1111,7.67334015108645E-4,
1113,7.637920207343996E-4,
1115,7.612910121679306E-4,
1117,7.497909828089178E-4,
1119,7.224170258268714E-4,
1121,7.564169936813414E-4,
1123,7.701659924350679E-4,
1125,0.0010585420532152057,
1127,7.290419889613986E-4,
1129,7.420419715344906E-4,
1131,7.496670004911721E-4,
1133,7.802500040270388E-4,
1135,7.798749720677733E-4,
1137,7.627920131199062E-4,
1139,7.759170257486403E-4,
1141,7.742909947410226E-4,
1143,7.98458990175277E-4,
1145,7.947079720906913E-4,
1147,7.797500002197921E-4,
1149,7.6954101677984E-4,
1151,7.866669911891222E-4,
1153,7.981659728102386E-4,
1155,7.966249831952155E-4,
1157,8.149159839376807E-4,
1159,7.865839870646596E-4,
1161,7.975419866852462E-4,
1163,8.235829882323742E-4,
1165,8.196249837055802E-4,
1167,8.224999764934182E-4,
1169,8.209170191548765E-4,
1171,8.25249997433275E-4,
1173,8.421249804086983E-4,
1175,8.114170050248504E-4,
1177,8.512500207871199E-4,
1179,8.632499957457185E-4,
1181,8.184590260498226E-4,
1183,8.192079840227962E-4,
1185,8.240420138463378E-4,
1187,8.29958007670939E-4,
1189,8.096250239759684E-4,
1191,8.444159757345915E-4,
1193,8.109590271487832E-4,
1195,8.201249875128269E-4,
1197,8.330420241691172E-4,
1199,8.461669785901904E-4,
1201,8.414170006290078E-4,
1203,8.947090245783329E-4,
1205,8.687080116942525E-4,
1207,8.377080084756017E-4,
1209,8.953340002335608E-4,
1211,8.945420267991722E-4,
1213,8.641669992357492E-4,
1215,8.992499788291752E-4,
1217,9.167080279439688E-4,
1219,9.069999796338379E-4,
1221,9.286670247092843E-4,
1223,9.058750001713634E-4,
1225,9.481249726377428E-4,
1227,9.172079735435545E-4,
1229,9.172920254059136E-4,
1231,9.255830082111061E-4,
1233,9.230829891748726E-4,
1235,9.099579765461385E-4,
1237,9.378750110045075E-4,
1239,9.241250227205455E-4,
1241,9.353749919682741E-4,
1243,9.216669714078307E-4,
1245,9.518750011920929E-4,
1247,9.277919889427722E-4,
1249,0.0016273329965770245,
1251,9.670829749666154E-4,
1253,9.544580243527889E-4,
1255,9.739579982124269E-4,
1257,9.489579824730754E-4,
1259,9.073339751921594E-4,
1261,9.014999959617853E-4,
1263,9.502079919911921E-4,
1265,9.800000116229057E-4,
1267,9.555830038152635E-4,
1269,9.257500059902668E-4,
1271,9.848340414464474E-4,
1273,9.688339778222144E-4,
1275,0.0010031659621745348,
1277,9.768749587237835E-4,
1279,0.001015666057355702,
1281,9.498340077698231E-4,
1283,9.80457989498973E-4,
1285,0.0010170410387217999,
1287,0.0010189999593421817,
1289,0.0010105830151587725,
1291,0.0010208339663222432,
1293,9.933339897543192E-4,
1295,9.79459029622376E-4,
1297,9.935840498656034E-4,
1299,9.756669751368463E-4,
1301,9.81625053100288E-4,
1303,0.001022542011924088,
1305,0.0010114159667864442,
1307,9.930829983204603E-4,
1309,0.0010350419906899333,
1311,0.0010602909605950117,
1313,0.0011077920207753778,
1315,0.0010364589979872108,
1317,0.0010239999974146485,
1319,0.0010650829644873738,
1321,0.0011672090040519834,
1323,0.001151749980635941,
1325,0.001058707945048809,
1327,0.0010360829764977098,
1329,0.001100333989597857,
1331,0.001135790953412652,
1333,0.0010599159868434072,
1335,0.0010645829606801271,
1337,0.0010708329500630498,
1339,9.897500276565552E-4,
1341,0.0010775839909911156,
1343,0.0010893750004470348,
1345,0.0010847910307347775,
1347,0.001081916969269514,
1349,0.0011400419753044844,
1351,0.0010902909561991692,
1353,0.0010746660409495234,
1355,0.0010612920159474015,
1357,0.0010851670522242785,
1359,0.0010622090194374323,
1361,0.0019460000330582261,
1363,0.0011430419981479645,
1365,0.0011482089757919312,
1367,0.0011202909518033266,
1369,0.0011409999569877982,
1371,0.001113333972170949,
1373,0.0011481669498607516,
1375,0.0011396670015528798,
1377,0.001128916977904737,
1379,0.0011362090008333325,
1381,0.0011592080118134618,
1383,0.0011382920201867819,
1385,0.0011612080270424485,
1387,0.0011338749900460243,
1389,0.0012000839924439788,
1391,0.0011866249842569232,
1393,0.0011853750329464674,
1395,0.0011839170474559069,
1397,0.0011630000080913305,
1399,0.0011208750074729323,
1401,0.0012121249455958605,
1403,0.0011674159904941916,
1405,0.0012445830507203937,
1407,0.001161959022283554,
1409,0.0012329580495133996,
1411,0.0011899590026587248,
1413,0.0011367079569026828,
1415,0.0011409580474719405,
1417,0.0011764169903472066,
1419,0.0011757919564843178,
1421,0.0011482089757919312,
1423,0.0011762500507757068,
1425,0.0011517079547047615,
1427,0.0012330419849604368,
1429,0.0012195419985800982,
1431,0.0012466670013964176,
1433,0.0012905839830636978,
1435,0.0012497080024331808,
1437,0.0011997079709544778,
1439,0.0012514590052887797,
1441,0.0012498749420046806,
1443,0.0012048749485984445,
1445,0.0012355409562587738,
1447,0.0012145000509917736,
1449,0.0011974580120295286,
1451,0.0012157500023022294,
1453,0.001257832976989448,
1455,0.0019392500398680568,
1457,0.001257374999113381,
1459,0.0012894159881398082,
1461,0.0013217499945312738,
1463,0.0012910000514239073,
1465,0.002254666993394494,
1467,0.0012680829968303442,
1469,0.001359167043119669,
1471,0.0012565420474857092,
1473,0.0013049589470028877,
1475,0.0012981250183656812,
1477,0.001345416996628046,
1479,0.0013234580401331186,
1481,0.0013245419831946492,
1483,0.0013332499656826258,
1485,0.0013283330481499434,
1487,0.001295457943342626,
1489,0.0013157910434529185,
1491,0.00132845900952816,
1493,0.00129725004080683,
1495,0.0013336660340428352,
1497,0.0013760000001639128,
1499,0.0013589169830083847,
1501,0.0013292500516399741,
1503,0.001388833043165505,
1505,0.0013821249594911933,
1507,0.001399667002260685,
1509,0.0013239169493317604,
1511,0.00136208301410079,
1513,0.001357708009891212,
1515,0.0013339590514078736,
1517,0.0013785839546471834,
1519,0.0013928329572081566,
1521,0.0014027500292286277,
1523,0.00141054205596447,
1525,0.0013487499672919512,
1527,0.0013954580063000321,
1529,0.0014244159683585167,
1531,0.0014253329718485475,
1533,0.001455790945328772,
1535,0.0014624999603256583,
1537,0.0014144170563668013,
1539,0.0014733340358361602,
1541,0.0014255410060286522,
1543,0.0014398329658433795,
1545,0.0014359999913722277,
1547,0.0013983329990878701,
1549,0.001445624977350235,
1551,0.0014198339777067304,
1553,0.0014592499937862158,
1555,0.0014607079792767763,
1557,0.0014395000180229545,
1559,0.001501707942225039,
1561,0.0014905000571161509,
1563,0.0015130409738048911,
1565,0.001447875052690506,
1567,0.001383375027216971,
1569,0.0014114170335233212,
1571,0.0014354579616338015,
1573,0.001411624951288104,
1575,0.0014565830351784825,
1577,0.0014440410304814577,
1579,0.0014868329744786024,
1581,0.0014440419618040323,
1583,0.0014157090336084366,
1585,0.001452457974664867,
1587,0.0014780840137973428,
1589,0.0014549579937011003,
1591,0.001496333978138864,
1593,0.0014639999717473984,
1595,0.001450291951186955,
1597,0.001477499958127737,
1599,0.0015005420427769423,
1601,0.0014855420449748635,
1603,0.0015099579468369484,
1605,0.0014661250170320272,
1607,0.0014995420351624489,
1609,0.0015072920359671116,
1611,0.0014820829965174198,
1613,0.0014897079672664404,
1615,0.0015130420215427876,
1617,0.0015405829763039947,
